"Index","AAPL","NFLX","AMZN","K","O","PG","TSM","V"
"2010-03-30",7.12143087387085,10.7228574752808,6.8289999961853,31.8533115386963,15.4559059143066,41.8590660095215,6.76719379425049,20.537899017334
"2010-03-31",7.09576559066772,10.5342855453491,6.78849983215332,31.6636981964111,15.4357872009277,41.6026268005371,6.72870635986328,20.5446643829346
"2010-04-01",7.12505149841309,10.7142858505249,6.59049987792969,31.7703495025635,15.3100461959839,41.6617889404297,6.79926729202271,20.8877124786377
"2010-04-05",7.20114326477051,11.4271430969238,6.57450008392334,31.4918117523193,15.6168537139893,41.9248085021973,6.88265466690063,20.8696613311768
"2010-04-06",7.23284816741943,11.9099998474121,6.77799987792969,31.4325580596924,15.8582763671875,41.4974060058594,6.94679832458496,20.8538608551025
"2010-04-07",7.26485395431519,11.3900003433228,6.74350023269653,31.2014293670654,15.9538240432739,41.096305847168,6.95962762832642,20.4724464416504
"2010-04-08",7.24522829055786,11.6899995803833,7.0479998588562,30.9999504089355,15.9236516952515,41.1357612609863,6.81209659576416,20.6484832763672
"2010-04-09",7.30078554153442,11.7742862701416,7.00299978256226,31.2962608337402,15.968918800354,41.2475547790527,6.81209659576416,20.8809490203857
"2010-04-12",7.31588315963745,11.8828573226929,7.05999994277954,31.4562606811523,15.7928924560547,41.2278251647949,6.7928524017334,21.0321636199951
"2010-04-13",7.3201117515564,12.3400001525879,7.00799989700317,31.4799766540527,16.0846042633057,41.4250907897949,6.84416723251343,20.9418849945068
"2010-04-14",7.41854572296143,12.5100002288818,7.21400022506714,31.7170257568359,16.3662528991699,41.5500068664551,7.21620273590088,21.2736511230469
"2010-04-15",7.5160756111145,12.4042863845825,7.29099988937378,31.7288818359375,16.034309387207,41.4250907897949,7.13923263549805,21.3165264129639
"2010-04-16",7.47017765045166,12.1871433258057,7.1085000038147,32.0251846313477,15.8079748153687,41.3264541625977,6.95962762832642,21.1811199188232
"2010-04-19",7.46021318435669,12.1142864227295,7.12150001525879,31.8710956573486,15.8482151031494,41.5697402954102,6.95321226119995,21.0163612365723
"2010-04-20",7.38533353805542,12.4385709762573,7.21000003814697,31.7703495025635,16.0795631408691,41.5500068664551,6.99169874191284,21.2262592315674
"2010-04-21",7.82707929611206,12.4257135391235,7.32149982452393,31.9244480133057,16.4215869903564,41.8393363952637,6.95321226119995,21.0186157226562
"2010-04-22",8.04598903656006,14.3214292526245,7.50449991226196,31.9896297454834,16.6680278778076,41.8130378723145,7.03659915924072,21.4722537994385
"2010-04-23",8.17764377593994,14.247142791748,7.18149995803833,31.7762908935547,16.7434749603271,41.7801628112793,7.03018426895142,21.7995109558105
"2010-04-26",8.13748264312744,15.4528570175171,7.35550022125244,31.6103458404541,16.8843059539795,42.0431785583496,7.04942750930786,21.6663513183594
"2010-04-27",7.91223001480103,14.581428527832,7.10099983215332,31.07106590271,16.5423030853271,41.4974060058594,6.79926729202271,20.9779930114746
"2010-04-28",7.89894437789917,14.1985712051392,6.96750020980835,31.1599540710449,16.6831207275391,41.8565444946289,6.73512172698975,21.1269550323486
"2010-04-29",8.11151504516602,14.7385711669922,7.08650016784668,32.6000137329102,17.3665714263916,41.213809967041,6.77360773086548,20.9486503601074
"2010-04-30",7.88354635238647,14.1285705566406,6.85500001907349,32.5585403442383,16.5634098052979,41.187328338623,6.7928524017334,20.3641033172607
"2010-05-03",8.0423698425293,14.5699996948242,6.87449979782104,32.4400177001953,16.6240215301514,41.531867980957,6.83775234222412,20.1474475860596
"2010-05-04",7.81077432632446,14.1942863464355,6.49149990081787,32.0785179138184,16.0835266113281,40.8891448974609,6.47213220596313,19.9443302154541
"2010-05-05",7.7295503616333,14.0328569412231,6.54650020599365,32.4400177001953,15.9319801330566,41.187328338623,6.38874530792236,19.5064868927002
"2010-05-06",7.43545341491699,13.8528566360474,6.4355001449585,31.8296203613281,15.1641826629639,40.253059387207,6.26687145233154,18.7143135070801
"2010-05-07",7.12172937393188,13.0128574371338,6.24900007247925,31.3140468597412,15.2752990722656,39.9615097045898,6.34384489059448,18.5721302032471
"2010-05-10",7.66916608810425,13.9285707473755,6.5644998550415,32.1496238708496,16.1037368774414,41.3595886230469,6.60683488845825,19.4071826934814
"2010-05-11",7.7455530166626,14.2600002288818,6.52299976348877,32.2266731262207,16.3512573242188,41.326473236084,6.52344560623169,18.994176864624
"2010-05-12",7.91373825073242,15.4042863845825,6.69350004196167,32.5289039611816,16.5229949951172,41.7571716308594,6.56193351745605,19.3659896850586
"2010-05-13",7.80111217498779,15.7157144546509,6.57350015640259,32.374828338623,16.3916568756104,41.5782585144043,6.57476043701172,19.3772869110107
"2010-05-14",7.66402673721313,14.3657140731812,6.42649984359741,32.297794342041,16.0279636383057,41.4390983581543,6.33101463317871,17.4628353118896
